DateTime	Total Depth	Hook Height	Flow Out Extra Paddle 1	MudPit Volume1 1	MudPit Volume1 2	MudPit Volume1 3	MudPit Volume1 4	MudPit Volume1 5	H2S @ Flow Line	H2S @ Rig Floor	Temperature Auxiliary 1	Auxiliary Pressure 1	Auxiliary Pressure 3	
s	m         	m         	%         	   bbl       	   bbl       	   bbl       	   bbl       	   bbl       	ppm       	ppm       	degC      	psi       	psi       	
1449527520	   1128	     1.45	     0.81	      111.78	      418.14	      140.36	      243.12	      409.86	        0	        0	      04	     3.24	  1499.22	
1449527580	   1129	     1.35	     0.80	      114.62	      426.31	      132.55	      243.04	      409.60	        0	        0	      04	     3.44	  1494.73	
1449527640	   1129	     1.24	     0.82	      115.78	      428.04	      127.79	      243.12	      411.05	        0	        0	      04	     4.04	  1495.73	
1449527700	   1129	     1.09	     0.81	      115.63	      423.90	      127.96	      243.84	      413.39	        0	        0	      04	     5.12	  1498.18	
1449527760	   1129	     0.99	     0.81	      114.77	      421.17	      128.30	      244.35	      418.20	        0	        0	      04	     3.08	  1495.04	
1449527820	   1129	     0.90	     0.81	      114.07	      418.15	      128.15	      244.79	      422.22	        0	        0	      04	     3.31	  1492.89	
1449527880	   1129	     1.65	     0.79	      113.47	      416.02	      128.33	      244.92	      425.66	        0	        0	      04	     3.71	  1495.15	
1449527940	   1129	     3.31	     0.81	      112.14	      410.37	      132.69	      245.31	      427.68	        0	        0	      04	     2.96	  1497.78	
1449528000	   1129	     4.89	     0.80	      110.32	      405.01	      141.05	      245.41	      427.73	        0	        0	      04	     4.90	  1500.84	
1449528060	   1129	     6.39	     0.80	      108.06	      400.90	      149.68	      245.07	      426.67	        0	        0	      04	     3.65	  1501.42	
1449528120	   1129	     8.13	     0.82	      105.58	      396.25	      166.06	      244.86	      425.96	        0	        0	      04	     3.24	  1501.11	
1449528180	   1129	    10.20	     0.82	      103.05	      391.64	      179.63	      244.85	      424.91	        0	        0	      04	     3.93	  1501.87	
1449528240	   1129	    12.56	     0.81	      100.95	      388.32	      200.97	      244.67	      424.35	        0	        0	      04	     2.40	  1500.70	
1449528300	   1129	    14.68	     0.82	       99.30	      384.73	      210.30	      244.05	      424.08	        0	        0	      04	     3.59	  1499.68	
1449528360	   1129	    17.22	     0.82	       97.06	      381.66	      216.12	      244.05	      422.45	        0	        0	      04	     2.82	  1499.56	
1449528420	   1129	    20.66	     0.82	       95.20	      375.80	      222.28	      243.61	      422.01	        0	        0	      04	     4.54	  1499.84	
1449528480	   1129	    24.82	     0.81	       93.31	      370.26	      228.32	      243.57	      421.42	        0	        0	      04	     4.96	  1499.31	
1449528540	   1129	    29.53	     0.82	       91.73	      365.95	      234.06	      243.68	      420.85	        0	        0	      04	     3.24	  1499.56	
1449528600	   1129	    22.40	     0.81	       90.70	      361.36	      237.19	      243.48	      419.89	        0	        0	      04	     3.90	  1499.68	
1449528660	   1129	    13.01	     0.83	       91.08	      363.25	      237.80	      243.60	      419.13	        0	        0	      03	     4.27	  1499.63	
1449528720	   1129	     2.93	     0.84	       91.20	      366.87	      237.98	      242.94	      418.73	        0	        0	      03	     4.39	  1500.53	
1449528780	   1129	     4.55	     0.84	       91.25	      368.33	      238.45	      242.75	      418.06	        0	        0	      03	     3.83	  1499.75	
1449528840	   1129	     7.47	     0.82	       91.29	      370.46	      238.60	      242.89	      417.14	        0	        0	      03	     3.34	  1499.73	
1449528900	   1129	     9.29	     0.83	       91.29	      374.99	      238.86	      243.00	      416.74	        0	        0	      03	     4.53	  1498.08	
1449528960	   1129	    11.07	     0.84	       91.50	      379.22	      239.15	      242.42	      416.00	        0	        0	      03	     3.92	  1499.22	
1449529020	   1129	    14.88	     0.83	       91.96	      383.25	      239.59	      242.57	      415.21	        0	        0	      03	     3.30	  1498.22	
1449529080	   1129	    19.58	     0.81	       92.59	      388.56	      240.30	      242.75	      414.64	        0	        0	      03	     5.81	  1499.29	
1449529140	   1129	    23.16	     0.83	       93.60	      390.17	      240.43	      242.27	      413.74	        0	        0	      03	     4.66	  1498.94	
1449529200	   1129	    26.35	     0.82	       95.24	      392.51	      240.51	      241.91	      412.98	        0	        0	      03	     3.29	  1498.58	
1449529260	   1129	    29.23	     0.83	       96.25	      395.30	      240.79	      242.20	      412.09	        0	        0	      04	     5.15	  1500.44	
1449529320	   1129	    28.50	     0.83	       98.27	      397.19	      241.92	      242.33	      412.18	        0	        0	      05	     3.76	  1497.97	
1449529380	   1129	    23.66	     0.82	       99.27	      398.17	      241.52	      242.26	      411.64	        0	        0	      06	     3.59	  1499.58	
1449529440	   1129	    20.00	     0.83	      100.44	      400.71	      241.77	      242.01	      411.19	        0	        0	      05	     5.17	  1497.68	
1449529500	   1129	    16.20	     0.84	      101.73	      403.32	      242.12	      242.20	      410.22	        0	        0	      06	     5.00	  1496.88	
1449529560	   1129	    12.50	     0.82	      103.10	      404.17	      242.33	      241.79	      409.93	        0	        0	      05	     6.51	  1499.73	
1449529620	   1129	     9.38	     0.83	      104.19	      405.79	      242.89	      242.88	      408.71	        0	        0	      06	     4.70	  1495.46	
1449529680	   1129	     6.00	     0.82	      105.44	      406.88	      242.78	      242.94	      409.16	        0	        0	      05	     6.70	  1498.39	
1449529740	   1129	     2.53	     0.84	      106.66	      408.44	      243.12	      243.00	      408.58	        0	        0	      05	     5.00	  1495.93	
1449529800	   1129	     5.73	     0.81	      107.81	      408.95	      243.52	      243.24	      409.29	        0	        0	      05	     4.23	  1497.69	
1449529860	   1129	    12.93	     0.84	      108.69	      410.22	      244.39	      243.41	      409.59	        0	        0	      06	     5.33	  1499.27	
1449529920	   1129	    17.32	     0.82	      109.59	      411.09	      244.20	      243.67	      410.46	        0	        0	      05	     5.79	     0.50	
1449529980	   1129	    15.22	     0.81	      110.14	      410.06	      244.64	      244.15	      410.75	        0	        0	      05	     5.30	     0.50	
1449530040	   1129	    12.44	     0.84	      110.41	      411.19	      244.92	      244.48	      411.45	        0	        0	      05	     6.07	     0.50	
1449530100	   1129	    10.90	     0.85	      110.94	      411.19	      245.05	      244.60	      412.50	        0	        0	      05	     5.61	     0.50	
1449530160	   1129	    10.90	     0.82	      112.89	      419.43	      245.65	      244.92	      414.69	        0	        0	      05	     5.47	     0.50	
1449530220	   1129	    11.93	     0.84	      114.52	      425.45	      246.01	      245.38	      417.45	        0	        0	      05	     5.10	     0.50	
1449530280	   1129	    29.26	     0.83	      115.69	      429.25	      246.38	      245.95	      423.11	        0	        0	      05	     4.21	     0.50	
1449530340	   1129	    30.73	     0.84	      116.50	      432.81	      246.86	      246.36	      430.16	        0	        0	      05	     4.68	     0.50	
1449530400	   1129	    30.62	     0.84	      117.45	      435.15	      247.48	      246.79	      437.66	        0	        0	      05	     4.84	     0.50	
1449530460	   1129	    30.78	     0.86	      117.91	      435.46	      247.50	      247.76	      444.92	        0	        0	      05	     3.90	     0.50	
1449530520	   1129	    30.78	     0.85	      117.51	      433.60	      247.96	      248.24	      449.03	        0	        0	      05	     5.47	     0.50	
1449530580	   1129	    30.14	     0.86	      117.46	      433.18	      248.54	      249.00	      452.13	        0	        0	      05	     3.90	     0.50	
1449530640	   1129	    27.66	     0.86	      117.62	      434.62	      248.94	      249.69	      452.93	        0	        0	      05	     5.23	  1506.12	
1449530700	   1129	    23.67	     0.86	      117.73	      435.47	      249.77	      249.99	      453.67	        0	        0	      05	     5.00	  1513.65	
1449530760	   1129	    20.74	     0.86	      117.96	      435.47	      250.25	      251.08	      454.78	        0	        0	      05	     5.16	  1512.83	
1449530820	   1129	    20.47	     0.86	      118.29	      436.41	      250.81	      251.80	      455.46	        0	        0	      05	     6.01	  1512.15	
1449530880	   1129	    20.37	     0.85	      118.54	      437.30	      250.77	      252.57	      456.65	        0	        0	      05	     5.01	  1511.33	
1449530940	   1129	    20.24	     0.85	      118.66	      437.37	      251.54	      253.09	      457.80	        0	        0	      05	     5.63	  1510.56	
1449531000	   1130	    20.07	     0.86	      118.89	      438.13	      251.94	      253.76	      458.52	        0	        0	      05	     6.72	  1511.54	
1449531060	   1130	    19.91	     0.85	      119.13	      439.67	      252.43	      254.34	      459.83	        0	        0	      05	     5.99	  1511.21	
1449531120	   1130	    19.75	     0.85	      119.30	      439.90	      252.92	      254.87	      460.48	        0	        0	      05	     5.38	  1510.40	
1449531180	   1130	    19.59	     0.86	      119.55	      440.07	      253.71	      255.68	      461.18	        0	        0	      05	     4.88	  1513.96	
1449531240	   1130	    19.46	     0.85	      119.69	      441.03	      255.07	      255.99	      461.77	        0	        0	      05	     4.47	  1512.34	
1449531300	   1130	    19.28	     0.86	      119.81	      442.40	      256.33	      256.84	      462.03	        0	        0	      05	     3.98	  1508.06	
1449531360	   1130	    19.11	     0.86	      119.96	      442.34	      257.63	      256.66	      462.27	        0	        0	      05	     6.09	  1508.28	
1449531420	   1131	    18.95	     0.83	      120.11	      443.05	      258.81	      257.34	      462.81	        0	        0	      05	     4.75	  1507.65	
1449531480	   1131	    18.79	     0.83	      120.19	      442.95	      260.37	      258.02	      462.90	        0	        0	      05	     6.31	  1506.79	
1449531540	   1131	    18.57	     0.82	      120.12	      442.45	      260.97	      258.29	      463.63	        0	        0	      05	     6.52	  1506.26	
1449531600	   1131	    18.32	     0.84	      119.95	      441.82	      261.02	      258.64	      463.60	        0	        0	      05	     6.59	  1507.98	
1449531660	   1132	    18.03	     0.86	      119.84	      441.37	      260.91	      259.13	      463.23	        0	        0	      05	     6.50	  1509.10	
1449531720	   1132	    17.81	     0.86	      119.80	      441.01	      261.01	      258.89	      462.68	        0	        0	      05	     7.62	  1510.71	
1449531780	   1132	    17.58	     0.85	      119.71	      441.52	      260.42	      259.07	      463.36	        0	        0	      05	     5.79	  1510.35	
1449531840	   1132	    17.40	     0.87	      119.61	      440.64	      260.48	      259.14	      462.47	        0	        0	      05	     6.51	  1506.80	
1449531900	   1132	    17.19	     0.85	      119.70	      439.77	      260.57	      258.95	      462.29	        0	        0	      05	     6.06	  1509.19	
1449531960	   1133	    16.98	     0.86	      119.51	      440.08	      260.54	      259.41	      462.62	        0	        0	      05	     6.31	  1508.37	
1449532020	   1133	    16.78	     0.85	      119.49	      440.21	      260.73	      258.99	      461.94	        0	        0	      05	     5.74	  1509.69	
1449532080	   1133	    16.59	     0.86	      119.45	      440.07	      260.43	      259.42	      461.72	        0	        0	      05	     5.95	  1508.55	
1449532140	   1133	    16.38	     0.86	      119.37	      439.55	      260.43	      258.80	      462.01	        0	        0	      05	     6.79	  1507.69	
1449532200	   1133	    16.14	     0.86	      119.34	      439.64	      260.25	      258.89	      461.88	        0	        0	      05	     5.84	  1508.62	
1449532260	   1134	    15.90	     0.85	      119.30	      439.63	      260.26	      258.76	      461.89	        0	        0	      05	     5.85	  1507.98	
1449532320	   1134	    15.71	     0.86	      119.30	      439.59	      260.30	      259.01	      461.73	        0	        0	      05	     7.06	  1508.45	
1449532380	   1134	    15.47	     0.87	      119.24	      439.61	      260.37	      258.73	      461.14	        0	        0	      05	     6.38	  1507.24	
1449532440	   1134	    15.26	     0.85	      119.15	      439.36	      260.14	      258.77	      461.31	        0	        0	      05	     6.68	  1509.00	
1449532500	   1135	    15.05	     0.85	      119.14	      439.11	      260.41	      258.76	      461.15	        0	        0	      05	     6.18	  1506.81	
1449532560	   1135	    14.85	     0.85	      119.19	      439.09	      260.41	      258.81	      461.34	        0	        0	      05	     5.04	  1507.33	
1449532620	   1135	    14.69	     0.86	      119.10	      438.31	      260.31	      258.66	      461.28	        0	        0	      05	     6.41	  1506.95	
1449532680	   1135	    14.45	     0.86	      119.13	      438.69	      260.28	      258.56	      460.86	        0	        0	      05	     7.45	  1507.20	
1449532740	   1135	    14.27	     0.85	      118.97	      438.72	      260.44	      258.41	      460.71	        0	        0	      05	     5.86	  1507.14	
1449532800	   1136	    14.05	     0.86	      119.03	      438.75	      260.22	      258.14	      460.42	        0	        0	      05	     5.43	  1504.91	
1449532860	   1136	    13.81	     0.86	      119.05	      438.64	      260.44	      258.72	      460.41	        0	        0	      05	     5.68	  1506.22	
1449532920	   1136	    13.61	     0.88	      118.92	      438.11	      260.08	      258.31	      459.83	        0	        0	      05	     6.23	  1507.16	
1449532980	   1136	    13.36	     0.87	      118.92	      437.68	      260.27	      258.19	      459.87	        0	        0	      05	     6.61	  1505.67	
1449533040	   1136	    13.16	     0.87	      118.85	      438.16	      260.22	      257.96	      460.07	        0	        0	      05	     5.90	  1506.27	
1449533100	   1137	    12.88	     0.85	      118.89	      437.76	      260.13	      258.31	      459.57	        0	        0	      05	     5.32	  1506.84	
1449533160	   1137	    12.65	     0.87	      118.76	      437.68	      260.33	      258.11	      459.57	        0	        0	      05	     4.44	  1507.35	
1449533220	   1137	    12.33	     0.86	      118.63	      436.97	      260.35	      257.69	      459.54	        0	        0	      05	     5.98	  1504.30	
1449533280	   1137	    12.12	     0.87	      118.73	      437.42	      260.22	      258.11	      459.26	        0	        0	      06	     7.88	  1506.10	
1449533340	   1138	    11.85	     0.86	      118.64	      436.69	      260.27	      257.62	      458.96	        0	        0	      06	     6.92	  1507.47	
1449533400	   1138	    11.53	     0.86	      118.51	      437.29	      260.26	      257.76	      459.30	        0	        0	      06	     6.45	  1507.43	
1449533460	   1138	    11.27	     0.86	      118.45	      436.55	      260.07	      257.65	      459.26	        0	        0	      06	     6.87	  1506.59	
1449533520	   1139	    11.03	     0.88	      118.42	      436.69	      260.23	      257.76	      459.32	        0	        0	      06	     6.69	  1508.50	
1449533580	   1139	    10.77	     0.88	      118.31	      436.52	      260.08	      257.69	      459.25	        0	        0	      06	     6.94	  1507.56	
1449533640	   1139	    10.53	     0.89	      118.26	      435.95	      260.17	      258.02	      458.51	        0	        0	      06	     8.59	  1507.77	
